,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
206,"Medical, Illness & Healing",11602,11602,USD,11602.0,11602.0,100.0,"Created April 4, 2021",2021-04-04,US,67,false
207,Accidents & Emergencies,4348,4348,USD,4348.0,4348.0,100.0,"Created March 29, 2021",2021-03-29,US,66,false
208,Accidents & Emergencies,1155,1155,EUR,1373.757,1373.757,100.0,"Created April 2, 2021",2021-04-02,US,28,false
209,"Medical, Illness & Healing",195,195,USD,195.0,195.0,100.0,"Created March 31, 2021",2021-03-31,US,5,false
210,"Medical, Illness & Healing",7000,7000,EUR,8325.8,8325.8,100.0,"Created August 17, 2020",2020-08-17,US,0,false
211,"Medical, Illness & Healing",11095,20000,USD,11095.0,20000.0,55.474999999999994,"Created April 8, 2021",2021-04-08,US,197,false
212,"Medical, Illness & Healing",3068,10000,USD,3068.0,10000.0,30.680000000000003,Created 2 days ago,2021-04-18,US,31,false
213,"Medical, Illness & Healing",1700,5000,USD,1700.0,5000.0,34.0,Created 1 day ago,2021-04-19,US,27,false
214,"Medical, Illness & Healing",9157,30000,EUR,10891.3358,35682.0,30.523333333333337,Created 5 days ago,2021-04-15,US,136,false
215,"Medical, Illness & Healing",1765,50000,USD,1765.0,50000.0,3.53,Created 7 days ago,2021-04-13,US,40,false
216,"Medical, Illness & Healing",9847,12000,GBP,13665.665313170914,16653.598431811817,82.05833333333334,"Created April 1, 2021",2021-04-01,US,135,false
217,Accidents & Emergencies,750,5000,EUR,892.05,5947.0,15.0,Created 4 days ago,2021-04-16,US,27,false
218,"Babies, Kids & Family",2615,5000,USD,2615.0,5000.0,52.300000000000004,Created 5 days ago,2021-04-15,US,39,false
219,Accidents & Emergencies,5094,8000,USD,5094.0,8000.0,63.675000000000004,"Created August 14, 2020",2020-08-14,US,112,false
220,Other,5340,10000,USD,5340.0,10000.0,53.400000000000006,Created 5 days ago,2021-04-16,US,34,false
