Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-08-15,6042.41000400952,3778.67714615592,9071.08701728803,1092.28571
2020-08-16,6047.92633885394,3834.68829320477,9007.27918912267,1135.71429
2020-08-17,6049.58665782609,3835.61009471507,8957.37934577058,1143.14286
2020-08-18,6047.38671570544,3795.22028825951,8849.19121034039,1108.42857
2020-08-19,6041.29711882972,3867.22409345836,8951.30415867901,1111.42857
2020-08-20,6031.2388088684,3887.32053863006,8814.45424132605,1028.28571
2020-08-21,6017.08740782636,3883.58243028342,8887.97623128023,976.85714
2020-08-22,5998.7324281274,3878.76662670919,8865.41758904358,907.14286
2020-08-23,5976.11443587934,3931.68478647818,8803.70924084375,829.85714
2020-08-24,5949.21866060307,3902.43379622813,8732.29894025323,790.85714
2020-08-25,5918.06621330743,3904.62839881658,8725.33626000488,780.14286
2020-08-26,5882.6893158037,3902.54833844937,8646.99550058195,728.14286
2020-08-27,5843.14011551901,3857.36827374284,8639.97226243103,761.57143
2020-08-28,5799.5303525727,3831.72996619424,8529.85217794297,808.57143
2020-08-29,5752.02094671654,3745.65317809964,8407.70792191544,855.57143
2020-08-30,5700.78639757748,3679.0595367831,8272.69002867983,900.57143
2020-08-31,5646.05510305533,3628.22525126586,8208.7730639717,912.85714
2020-09-01,5588.02885247179,3578.4392625727,8146.8635012533,942.57143
2020-09-02,5526.82028950244,3565.54263127413,8049.75861563286,988.28571
2020-09-03,5462.44952152022,3551.1038779334,7862.75987108923,997.0
2020-09-04,5394.92478900671,3480.61241876983,7850.8186027734,1013.42857
2020-09-05,5324.26912414,3496.31812807108,7666.04600503159,1031.28571
2020-09-06,5250.51097481315,3453.42518978623,7647.19256781552,1060.14286
2020-09-07,5173.74590354391,3416.74548595902,7548.38863233185,1088.85714
2020-09-08,5094.21248665532,3401.24765781233,7405.37319576728,1115.28571
2020-09-09,5012.13912042758,3316.395162533,7322.68366511881,1124.0
