launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-10-12,26007.871428571427,20729.728571428568,1428.5714285714287,22158.299999999996
2020-10-13,27893.58571428571,22615.442857142854,1428.5714285714287,24044.014285714282
2020-10-14,18129.72857142857,17137.299999999996,0.0,17137.299999999996
2020-10-15,24558.3,16565.871428571427,7142.857142857143,23708.728571428568
2020-10-16,23311.0,15318.571428571424,7142.857142857143,22461.428571428565
2020-10-17,19349.571428571428,10928.571428571424,7571.428571428572,18499.999999999996
2020-10-18,27754.285620941177,16642.857142857138,8562.71419236975,25205.571335226887
2020-10-19,23128.742763798324,12866.88571428571,8562.71419236975,21429.59990665546
2020-10-20,17485.88562094118,7224.0285714285665,8562.71419236975,15786.742763798316
2020-10-21,19015.11419236975,8753.25714285714,8562.71419236975,17315.97133522689
2020-10-22,17594.399906655464,13046.828571428568,2848.4284780840367,15895.257049512606
2020-10-23,20969.399906655464,15189.68571428571,2848.4284780840367,18038.114192369747
2020-10-24,19997.971335226895,14646.828571428568,2419.8570495126082,17066.685620941178
2020-10-25,26593.257142857143,19646.82857142857,5714.285714285715,25361.114285714284
2020-10-26,30539.14285714286,20021.28571428571,9285.714285714286,29306.999999999996
2020-10-27,33639.142857142855,19735.571428571424,12671.42857142857,32406.999999999993
2020-10-28,35967.05714285714,20634.91428571428,12671.42857142857,33306.34285714285
2020-10-29,30244.914285714283,16341.342857142852,11242.857142857143,27584.199999999997
2020-10-30,33433.771428571425,20762.342857142852,11242.857142857143,32005.199999999997
2020-10-31,76833.77142857143,28448.05714285714,46957.142857142855,75405.2
2020-11-01,61976.62857142858,17876.628571428566,42671.42857142857,60548.05714285714
2020-11-02,59498.0428291395,17672.08571428571,40100.0,57772.08571428571
2020-11-03,57255.185686282355,17672.08571428571,37857.142857142855,55529.22857142857
2020-11-04,53596.29995332773,15243.514285714282,37857.142857142855,53100.65714285713
2020-11-05,55024.87138189916,16672.08571428571,37857.142857142855,54529.22857142857
2020-11-06,63889.58566761344,25108.228571428568,37857.142857142855,62965.37142857142
2020-11-07,26032.442810470588,22965.371428571427,2142.8571428571427,25108.228571428568
2020-11-08,25889.585667613446,22822.514285714282,2142.8571428571427,24965.371428571423
2020-11-09,25093.71426704538,22814.28571428571,1652.6000000000001,24466.88571428571
2020-11-10,25649.999981331093,24513.42857142857,509.74285714285713,25023.171428571426
2020-11-11,29696.685583603365,25901.22844074622,3366.8857142857146,29268.114155031937
2020-11-12,31196.68558360337,27329.79986931765,3366.8857142857146,30696.685583603365
2020-11-13,20053.828440746223,16615.51415503193,3366.8857142857146,19982.399869317647
2020-11-14,16189.114155031935,12750.799869317647,3366.8857142857146,16117.685583603361
2020-11-15,16689.114155031937,12750.799869317647,3366.8857142857146,16117.685583603361
2020-11-16,16290.194155031937,12079.371297889074,2857.1428571428573,14936.514155031931
2020-11-17,17448.19415503194,13237.371297889074,2857.1428571428573,16094.514155031931
2020-11-18,16103.25142857143,11849.571428571424,0.0,11849.571428571424
2020-11-19,15317.537142857143,8992.428571428567,2142.8571428571427,11135.28571428571
2020-11-20,24369.537142857145,7563.857142857139,2142.8571428571427,9706.71428571428
2020-11-21,25384.82285714286,8221.999999999996,2142.8571428571427,10364.85714285714
2020-11-22,31004.965714285714,14342.142857142853,2142.8571428571427,16484.999999999996
2020-11-23,32365.571428571428,16484.999999999996,2142.8571428571427,18627.857142857138
2020-11-24,34579.857142857145,17199.28571428571,2142.8571428571427,19342.14285714285
2020-11-25,33073.8,18593.228571428568,2142.8571428571427,20736.08571428571
2020-11-26,37592.22857142857,24540.228571428568,714.2857142857143,25254.514285714282
2020-11-27,28710.14285714286,25968.799999999996,714.2857142857143,26683.08571428571
2020-11-28,31872.342857142856,29318.228571428568,714.2857142857143,30032.514285714282
2020-11-29,25752.2,23198.08571428571,714.2857142857143,23912.371428571423
2020-11-30,23774.77142857143,21055.228571428568,879.7142857142857,21934.942857142854
2020-12-01,33703.34285714286,31769.514285714282,879.7142857142857,32649.228571428568
2020-12-02,36373.58,31804.14285714285,3260.4514285714286,35064.59428571428
2020-12-03,30712.294285714284,25857.14285714285,2546.1657142857143,28403.308571428566
2020-12-04,41970.951428571425,37285.71428571428,2546.1657142857143,39831.88
2020-12-05,41658.18,37142.85714285714,2546.1657142857143,39689.02285714285
2020-12-06,48307.14222798512,40036.39079941368,5944.4514285714295,45980.842227985115
2020-12-07,49998.8565136994,41893.533656556545,5779.022857142858,47672.556513699405
2020-12-08,34998.8565136994,27607.819370842255,5779.022857142858,33386.842227985115
2020-12-09,31934.6765136994,27179.247942270827,3398.285714285714,30577.53365655654
2020-12-10,33077.533656556545,27893.53365655654,3398.285714285714,31291.819370842255
2020-12-11,26306.105085127976,21122.10508512797,3398.285714285714,24520.390799413683
2020-12-12,21163.24794227083,15407.819370842257,3398.285714285714,18806.105085127972
2020-12-13,14514.285714285714,12514.28571428571,0.0,12514.28571428571
2020-12-14,13506.714285714286,11506.71428571428,0.0,11506.71428571428
2020-12-15,17435.285714285714,15078.142857142853,0.0,15078.142857142853
2020-12-16,17683.0,15325.85714285714,0.0,15325.85714285714
2020-12-17,15540.142857142857,14611.571428571424,0.0,14611.571428571424
2020-12-18,12165.485714285713,11236.914285714282,0.0,11236.914285714282
2020-12-19,16845.7,16488.55714285714,0.0,16488.55714285714
2020-12-20,21845.7,21488.55714285714,0.0,21488.55714285714
2020-12-21,20996.12857142857,20638.98571428571,0.0,20638.98571428571
2020-12-22,18708.52142857143,18708.521428571425,0.0,18708.521428571425
2020-12-23,19603.664285714283,19603.66428571428,0.0,19603.66428571428
2020-12-24,25889.37857142857,24460.80714285714,1428.5714285714287,25889.378571428566
2020-12-25,27688.06428571429,23402.35,4285.714285714285,27688.064285714285
2020-12-26,27436.42142857143,23150.70714285714,4285.714285714285,27436.421428571426
2020-12-27,36684.27857142857,25255.70714285714,11428.57142857143,36684.27857142857
2020-12-28,36684.27857142857,25255.70714285714,11428.57142857143,36684.27857142857
2020-12-29,35043.31428571429,23614.742857142854,11428.57142857143,35043.31428571428
2020-12-30,33614.74285714286,21471.885714285712,11428.57142857143,32900.45714285714
2020-12-31,38501.74285714286,21430.314285714285,16000.0,37430.31428571428
2021-01-01,39706.28571428572,25491.999999999996,13142.857142857143,38634.85714285714
2021-01-02,40634.857142857145,24991.999999999996,14571.42857142857,39563.428571428565
2021-01-03,31672.714285714286,21744.14285714285,8857.142857142857,30601.28571428571
2021-01-04,40341.57142857143,25315.571428571424,13954.57142857143,39270.142857142855
2021-01-05,45627.28571428572,28886.999999999996,15668.857142857143,44555.85714285714
2021-01-06,50055.857142857145,31886.999999999996,17811.714285714286,49698.71428571428
2021-01-07,45668.857142857145,32714.28571428571,11811.714285714286,44526.0
2021-01-08,47729.4,33585.428571428565,13001.114285714286,46586.54285714285
2021-01-09,43963.68571428571,30513.999999999996,12286.828571428572,42800.82857142857
2021-01-10,42573.42857142857,27166.6,13715.4,40882.0
2021-01-11,34975.57142857143,24666.171428571426,8617.971428571429,33284.142857142855
2021-01-12,39689.857142857145,31094.74285714285,6903.685714285714,37998.428571428565
2021-01-13,36995.05714285714,29114.228571428568,4760.828571428572,33875.05714285714
2021-01-14,31613.17131655799,23471.371428571427,4760.828571428572,28232.199999999997
2021-01-15,21409.771316557988,14028.799999999994,4000.0,18028.799999999996
2021-01-16,25575.485602272274,16485.942857142854,5728.571428571428,22214.514285714282
2021-01-17,25033.490945129415,19329.66248571428,2871.4285714285716,22201.091057142854
2021-01-18,29248.2052308437,22401.519628571426,2871.4285714285716,25272.9482
2021-01-19,19248.2052308437,12401.519628571425,2871.4285714285716,15272.948199999995
2021-01-20,28943.0052308437,23524.891057142853,2871.4285714285716,26396.319628571426
2021-01-21,29388.15691428571,25373.871199999998,2871.4285714285716,28245.29977142857
2021-01-22,36816.72834285714,25373.871199999998,9585.714285714286,34959.585485714284
2021-01-23,31113.699771428568,21827.985485714282,7142.857142857143,28970.842628571423
2021-01-24,32045.95157142857,22760.23728571428,7142.857142857143,29903.09442857142
2021-01-25,36760.23728571429,28617.38014285714,7142.857142857143,35760.237285714284
2021-01-26,44000.523,35857.66585714285,7142.857142857143,43000.522999999994
2021-01-27,40597.09442857143,24571.951571428566,13939.42857142857,38511.38014285714
2021-01-28,40837.40000000001,24812.257142857135,13939.42857142857,38751.685714285704
2021-01-29,32980.25714285714,24812.257142857135,6796.571428571428,31608.828571428563
2021-01-30,34903.42857142857,27021.14285714285,6796.571428571428,33817.71428571428
2021-01-31,33452.78857142857,25570.502857142852,6796.571428571428,32367.07428571428
2021-02-01,26309.93142857143,18427.64571428571,6796.571428571428,25224.21714285714
2021-02-02,20768.788571428573,11187.359999999997,8495.714285714286,19683.074285714283
2021-02-03,18457.931428571428,16758.78857142857,1699.142857142857,18457.931428571428
2021-02-04,17797.217142857142,16098.074285714281,1699.142857142857,17797.21714285714
2021-02-05,24593.788571428573,22894.645714285707,1699.142857142857,24593.788571428566
2021-02-06,23711.20285714286,21417.359999999993,1699.142857142857,23116.502857142852
2021-02-07,26733.271428571432,23867.999999999996,1699.142857142857,25567.142857142855
2021-02-08,23876.128571428573,21010.857142857138,1699.142857142857,22709.999999999996
2021-02-09,29891.271428571432,21010.857142857138,571.4285714285714,21582.28571428571
2021-02-10,23462.700000000004,14582.28571428571,571.4285714285714,15153.71428571428
2021-02-11,23421.785695616807,14541.371409902518,571.4285714285714,15112.799981331089
2021-02-12,18053.785695616807,9173.371409902518,571.4285714285714,9744.799981331089
2021-02-13,24244.799981331096,15959.085695616803,571.4285714285714,16530.514267045375
2021-02-14,18579.514267045382,10865.22855275966,571.4285714285714,11436.65712418823
2021-02-15,20895.785809902525,10865.22855275966,571.4285714285714,11436.65712418823
2021-02-16,13995.785809902522,11579.514267045375,0.0,11579.514267045375
2021-02-17,20995.78580990252,17436.65712418823,0.0,17436.65712418823
2021-02-18,31867.699834252107,27594.28543425211,714.2857142857143,28308.571148537823
2021-02-19,40822.82840568068,36549.41400568068,714.2857142857143,37263.6997199664
2021-02-20,38630.19983425211,31071.071148537823,1142.857142857143,32213.928291394965
2021-02-21,38438.342691394966,30879.21400568068,1142.857142857143,32022.07114853782
2021-02-22,46980.13829139497,37451.566862823536,5428.571428571428,42880.138291394964
2021-02-23,49737.281148537826,40308.70971996639,5428.571428571428,45737.28114853782
2021-02-24,42737.281148537826,34451.566862823536,5428.571428571428,39880.138291394964
2021-02-25,36812.13857142858,26691.99571428571,7263.0,33954.99571428571
2021-02-26,28760.695714285714,16308.29571428571,9595.257142857143,25903.55285714285
2021-02-27,27381.895714285714,18215.209999999995,9166.685714285715,27381.89571428571
2021-02-28,33810.467142857146,22786.638571428568,10595.257142857143,33381.89571428571
2021-03-01,22952.399999999998,16214.28571428571,6309.542857142857,22523.828571428567
2021-03-02,19380.971428571425,12642.85714285714,6309.542857142857,18952.399999999998
2021-03-03,28373.399999999998,16785.714285714283,11159.114285714286,27944.828571428567
2021-03-04,24156.68571428571,15117.71428571428,8610.4,23728.11428571428
2021-03-05,23967.285714285714,17260.571428571424,6278.142857142857,23538.714285714283
2021-03-06,29874.876956168075,18882.448384739495,6278.142857142857,25160.59124188235
2021-03-07,25232.01981331093,16096.73409902521,4849.571428571428,20946.30552759664
2021-03-08,25844.034099025215,16453.876956168067,4849.571428571428,21303.448384739495
2021-03-09,27986.891241882364,16453.876956168067,4849.571428571428,21303.448384739495
2021-03-10,26450.09124188236,16766.648384739496,3000.0,19766.648384739496
2021-03-11,32618.091241882357,22506.07695616807,3428.5714285714284,25934.6483847395
2021-03-12,39475.23409902521,23220.362670453786,9285.714285714286,32506.07695616807
2021-03-13,32582.271279220175,20327.39985064874,9285.714285714286,29613.114136363027
2021-03-14,57150.89655518662,44896.02512661519,9285.714285714286,54181.73941232948
2021-03-15,78824.59655518664,55110.31084090091,21000.0,76110.3108409009
2021-03-16,97411.28226947234,74140.71084090091,21000.0,95140.71084090091
2021-03-17,123439.28015720948,92168.70872863804,26857.14285714286,119025.8515857809
2021-03-18,125691.20861435232,94764.25147149518,26428.571428571428,121192.82290006662
2021-03-19,138659.62424292375,111836.55281435233,20571.428571428572,132407.9813857809
2021-03-20,168251.66724941786,137847.42439227502,24009.742857142857,161857.16724941786
2021-03-21,152232.31340202288,121542.3562591657,24009.742857142857,145552.09911630856
2021-03-22,151430.45625916572,132454.78483059426,12295.457142857142,144750.2419734514
2021-03-23,152106.77054488,127687.38483059428,19438.31428571429,147125.69911630856
2021-03-24,127657.57265714285,114238.18694285714,10581.171428571428,124819.35837142856
2021-03-25,146487.14346391166,124657.00060676881,19076.885714285716,143733.88632105454
2021-03-26,151188.01336293688,128078.84212105452,20412.31428571429,148491.1564067688
2021-03-27,136927.68479150833,116835.82783534021,17823.571428571428,134659.39926391165
2021-03-28,161715.0990772226,130782.09926391167,24966.428571428572,155748.52783534024
2021-03-29,168907.75599605287,135426.04189702764,27515.14285714286,162941.1847541705
2021-03-30,167732.2498531957,133339.9990398848,27282.82242857143,160622.82146845624
2021-03-31,182188.20683736718,147795.9560240562,27282.82242857143,175078.77845262765
2021-04-01,167566.9932877412,137384.74247443027,23072.82242857143,160457.5649030017
2021-04-02,170748.48204585884,134319.17104585882,31302.453857142857,165621.62490300168
2021-04-03,177829.11061728743,137320.7996172874,35381.45385714286,172702.25347443027
2021-04-04,184029.44156014454,138978.82818871597,34095.739571428574,173074.56776014453
2021-04-05,205481.19892702857,156836.44269845713,34832.739571428574,191669.1822698857
2021-04-06,234770.70506988573,187653.34269845716,33019.631428571425,220672.97412702857
2021-04-07,234261.24808571427,182595.17142857143,36718.77428571428,219313.9457142857
2021-04-08,241243.81951428571,191720.6,34575.91714285714,226296.51714285713
2021-04-09,281848.0405613447,240704.1667613447,25053.714285714286,265757.88104705897
2021-04-10,289035.354847059,251462.90961848758,21482.285714285714,272945.1953327733
2021-04-11,264924.5204756305,243021.2347613447,15625.142857142857,258646.37761848758
2021-04-12,254943.67761848753,224183.24904705895,16625.14285714286,240808.39190420182
2021-04-13,232576.97761848755,204350.12047563042,14091.57142857143,218441.69190420184
2021-04-14,215681.56333277328,192003.42047563038,10392.42857142857,202395.84904705896
2021-04-15,218468.69190420184,194076.26333277326,11106.714285714286,205182.97761848755
2021-04-16,154944.4394285714,130309.1537142857,12492.42857142857,142801.58228571428
2021-04-17,138161.3537142857,112026.06799999998,13992.42857142857,126018.49657142855
2021-04-18,128276.31428571428,100441.8857142857,15691.57142857143,116133.45714285714
2021-04-19,93843.17142857143,81008.74285714285,11405.857142857143,92414.59999999999
2021-04-20,69475.72857142858,60633.72857142857,8842.0,69475.72857142857
2021-04-21,70501.49428571427,55330.46571428571,10413.42857142857,65743.89428571428
2021-04-22,49271.50857142856,36957.622857142844,7556.285714285715,44513.90857142856
